period,frame,count,total_videos_in_period,prevalence
2021-05,Climate Change,16,172,0.093023
2021-06,Nature/Tourism,68,146,0.465753
2021-06,Geopolitics,10,146,0.068493
2021-06,Knowledge/Facts,35,146,0.239726
2021-06,Indigenous Life,30,146,0.205479
2021-06,Climate Change,3,146,0.020548
2021-07,Nature/Tourism,76,183,0.415301
2021-07,Geopolitics,8,183,0.043716
2021-07,Knowledge/Facts,44,183,0.240437
2021-07,Indigenous Life,36,183,0.196721
2021-07,Climate Change,19,183,0.103825
2021-08,Nature/Tourism,68,215,0.316279
2021-08,Geopolitics,8,215,0.037209
2021-08,Knowledge/Facts,53,215,0.246512
2021-08,Indigenous Life,40,215,0.186047
2021-08,Climate Change,46,215,0.213953
2021-09,Nature/Tourism,76,175,0.434286
2021-09,Geopolitics,6,175,0.034286
2021-09,Knowledge/Facts,50,175,0.285714
2021-09,Indigenous Life,27,175,0.154286
2021-09,Climate Change,16,175,0.091429
2021-10,Nature/Tourism,74,193,0.383420
2021-10,Geopolitics,18,193,0.093264
2021-10,Knowledge/Facts,44,193,0.227979
2021-10,Indigenous Life,45,193,0.233161
2021-10,Climate Change,12,193,0.062176
2021-11,Nature/Tourism,69,183,0.377049
2021-11,Geopolitics,11,183,0.060109
2021-11,Knowledge/Facts,44,183,0.240437
2021-11,Indigenous Life,40,183,0.218579
2021-11,Climate Change,19,183,0.103825
2021-12,Nature/Tourism,89,195,0.456410
2021-12,Geopolitics,5,195,0.025641
2021-12,Knowledge/Facts,48,195,0.246154
2021-12,Indigenous Life,44,195,0.225641
2021-12,Climate Change,9,195,0.046154
2022-01,Nature/Tourism,77,192,0.401042
2022-01,Geopolitics,11,192,0.057292
2022-01,Knowledge/Facts,59,192,0.307292
2022-01,Indigenous Life,28,192,0.145833
2022-01,Climate Change,17,192,0.088542
2022-02,Nature/Tourism,79,183,0.431694
2022-02,Geopolitics,4,183,0.021858
2022-02,Knowledge/Facts,53,183,0.289617
2022-02,Indigenous Life,35,183,0.191257
2022-02,Climate Change,12,183,0.065574
2022-03,Nature/Tourism,90,220,0.409091
2022-03,Geopolitics,7,220,0.031818
2022-03,Knowledge/Facts,66,220,0.300000
2022-03,Indigenous Life,49,220,0.222727
2022-03,Climate Change,8,220,0.036364
2022-04,Nature/Tourism,68,165,0.412121
2022-04,Geopolitics,5,165,0.030303
2022-04,Knowledge/Facts,54,165,0.327273
2022-04,Indigenous Life,34,165,0.206061
2022-04,Climate Change,4,165,0.024242
2022-05,Nature/Tourism,90,187,0.481283
2022-05,Geopolitics,8,187,0.042781
2022-05,Knowledge/Facts,48,187,0.256684
2022-05,Indigenous Life,30,187,0.160428
2022-05,Climate Change,11,187,0.058824
2022-06,Nature/Tourism,66,204,0.323529
2022-06,Geopolitics,9,204,0.044118
2022-06,Knowledge/Facts,93,204,0.455882
2022-06,Indigenous Life,32,204,0.156863
2022-06,Climate Change,4,204,0.019608
2022-07,Nature/Tourism,77,289,0.266436
2022-07,Geopolitics,6,289,0.020761
2022-07,Knowledge/Facts,141,289,0.487889
2022-07,Indigenous Life,53,289,0.183391
2022-07,Climate Change,12,289,0.041522
2022-08,Nature/Tourism,95,265,0.358491
2022-08,Geopolitics,13,265,0.049057
2022-08,Knowledge/Facts,110,265,0.415094
2022-08,Indigenous Life,36,265,0.135849
2022-08,Climate Change,11,265,0.041509
2022-09,Nature/Tourism,92,243,0.378601
2022-09,Geopolitics,12,243,0.049383
2022-09,Knowledge/Facts,76,243,0.312757
2022-09,Indigenous Life,51,243,0.209877
2022-09,Climate Change,12,243,0.049383
2022-10,Nature/Tourism,105,248,0.423387
2022-10,Geopolitics,6,248,0.024194
2022-10,Knowledge/Facts,89,248,0.358871
2022-10,Indigenous Life,42,248,0.169355
2022-10,Climate Change,6,248,0.024194
2022-11,Nature/Tourism,93,258,0.360465
2022-11,Geopolitics,10,258,0.038760
2022-11,Knowledge/Facts,115,258,0.445736
2022-11,Indigenous Life,31,258,0.120155
2022-11,Climate Change,9,258,0.034884
2022-12,Nature/Tourism,85,273,0.311355
2022-12,Geopolitics,12,273,0.043956
2022-12,Knowledge/Facts,122,273,0.446886
2022-12,Indigenous Life,46,273,0.168498
2022-12,Climate Change,8,273,0.029304
2023-01,Nature/Tourism,67,235,0.285106
2023-01,Geopolitics,8,235,0.034043
2023-01,Knowledge/Facts,101,235,0.429787
2023-01,Indigenous Life,55,235,0.234043
2023-01,Climate Change,4,235,0.017021
2023-02,Nature/Tourism,88,239,0.368201
2023-02,Geopolitics,15,239,0.062762
2023-02,Knowledge/Facts,104,239,0.435146
2023-02,Indigenous Life,28,239,0.117155
2023-02,Climate Change,4,239,0.016736
2023-03,Nature/Tourism,105,266,0.394737
2023-03,Geopolitics,5,266,0.018797
2023-03,Knowledge/Facts,110,266,0.413534
2023-03,Indigenous Life,37,266,0.139098
2023-03,Climate Change,9,266,0.033835
2023-04,Nature/Tourism,95,250,0.380000
2023-04,Geopolitics,17,250,0.068000
2023-04,Knowledge/Facts,88,250,0.352000
2023-04,Indigenous Life,39,250,0.156000
2023-04,Climate Change,11,250,0.044000
2023-05,Nature/Tourism,103,302,0.341060
2023-05,Geopolitics,8,302,0.026490
2023-05,Knowledge/Facts,133,302,0.440397
2023-05,Indigenous Life,52,302,0.172185
2023-05,Climate Change,6,302,0.019868
2023-06,Nature/Tourism,95,246,0.386179
2023-06,Geopolitics,11,246,0.044715
2023-06,Knowledge/Facts,93,246,0.378049
2023-06,Indigenous Life,43,246,0.174797
2023-06,Climate Change,4,246,0.016260
2023-07,Nature/Tourism,88,206,0.427184
2023-07,Geopolitics,8,206,0.038835
2023-07,Knowledge/Facts,70,206,0.339806
2023-07,Indigenous Life,29,206,0.140777
2023-07,Climate Change,11,206,0.053398
2023-08,Nature/Tourism,84,190,0.442105
2023-08,Geopolitics,6,190,0.031579
2023-08,Knowledge/Facts,60,190,0.315789
2023-08,Indigenous Life,37,190,0.194737
2023-08,Climate Change,3,190,0.015789
2023-09,Nature/Tourism,120,330,0.363636
2023-09,Geopolitics,8,330,0.024242
2023-09,Knowledge/Facts,129,330,0.390909
2023-09,Indigenous Life,66,330,0.200000
2023-09,Climate Change,7,330,0.021212
2023-10,Nature/Tourism,96,304,0.315789
2023-10,Geopolitics,12,304,0.039474
2023-10,Knowledge/Facts,144,304,0.473684
2023-10,Indigenous Life,43,304,0.141447
2023-10,Climate Change,9,304,0.029605
2023-11,Nature/Tourism,112,261,0.429119
2023-11,Geopolitics,9,261,0.034483
2023-11,Knowledge/Facts,109,261,0.417625
2023-11,Indigenous Life,23,261,0.088123
2023-11,Climate Change,8,261,0.030651
2023-12,Nature/Tourism,106,240,0.441667
2023-12,Geopolitics,9,240,0.037500
2023-12,Knowledge/Facts,88,240,0.366667
2023-12,Indigenous Life,30,240,0.125000
2023-12,Climate Change,7,240,0.029167
2024-01,Nature/Tourism,110,264,0.416667
2024-01,Geopolitics,11,264,0.041667
2024-01,Knowledge/Facts,100,264,0.378788
2024-01,Indigenous Life,31,264,0.117424
2024-01,Climate Change,12,264,0.045455
2024-02,Nature/Tourism,72,225,0.320000
2024-02,Geopolitics,4,225,0.017778
2024-02,Knowledge/Facts,106,225,0.471111
2024-02,Indigenous Life,38,225,0.168889
2024-02,Climate Change,5,225,0.022222
2024-03,Nature/Tourism,58,214,0.271028
