period,frame,count,total_videos_in_period,prevalence
2023-05/06,Geopolitics,19,548,0.034672
2023-05/06,Knowledge/Facts,226,548,0.412409
2023-05/06,Indigenous Life,95,548,0.173358
2023-05/06,Climate Change,10,548,0.018248
2023-07/08,Nature/Tourism,172,396,0.434343
2023-07/08,Geopolitics,14,396,0.035354
2023-07/08,Knowledge/Facts,130,396,0.328283
2023-07/08,Indigenous Life,66,396,0.166667
2023-07/08,Climate Change,14,396,0.035354
2023-09/10,Nature/Tourism,216,634,0.340694
2023-09/10,Geopolitics,20,634,0.031546
2023-09/10,Knowledge/Facts,273,634,0.430599
2023-09/10,Indigenous Life,109,634,0.171924
2023-09/10,Climate Change,16,634,0.025237
2023-11/12,Nature/Tourism,218,501,0.435130
2023-11/12,Geopolitics,18,501,0.035928
2023-11/12,Knowledge/Facts,197,501,0.393214
2023-11/12,Indigenous Life,53,501,0.105788
2023-11/12,Climate Change,15,501,0.029940
2024-01/02,Nature/Tourism,182,489,0.372188
2024-01/02,Geopolitics,15,489,0.030675
2024-01/02,Knowledge/Facts,206,489,0.421268
2024-01/02,Indigenous Life,69,489,0.141104
2024-01/02,Climate Change,17,489,0.034765
2024-03/04,Nature/Tourism,152,460,0.330435
2024-03/04,Geopolitics,35,460,0.076087
2024-03/04,Knowledge/Facts,195,460,0.423913
2024-03/04,Indigenous Life,66,460,0.143478
2024-03/04,Climate Change,12,460,0.026087
2024-05/06,Nature/Tourism,217,523,0.414914
2024-05/06,Geopolitics,18,523,0.034417
2024-05/06,Knowledge/Facts,216,523,0.413002
2024-05/06,Indigenous Life,67,523,0.128107
2024-05/06,Climate Change,5,523,0.009560
2024-07/08,Nature/Tourism,263,538,0.488848
2024-07/08,Geopolitics,17,538,0.031599
2024-07/08,Knowledge/Facts,188,538,0.349442
2024-07/08,Indigenous Life,60,538,0.111524
2024-07/08,Climate Change,10,538,0.018587
2024-09/10,Nature/Tourism,250,574,0.435540
2024-09/10,Geopolitics,22,574,0.038328
2024-09/10,Knowledge/Facts,186,574,0.324042
2024-09/10,Indigenous Life,78,574,0.135889
2024-09/10,Climate Change,38,574,0.066202
2024-11/12,Nature/Tourism,167,520,0.321154
2024-11/12,Geopolitics,132,520,0.253846
2024-11/12,Knowledge/Facts,159,520,0.305769
2024-11/12,Indigenous Life,52,520,0.100000
2024-11/12,Climate Change,10,520,0.019231
2025-01/02,Nature/Tourism,70,727,0.096286
2025-01/02,Geopolitics,477,727,0.656121
2025-01/02,Knowledge/Facts,145,727,0.199450
2025-01/02,Indigenous Life,30,727,0.041265
2025-01/02,Climate Change,5,727,0.006878
2025-03/04,Nature/Tourism,91,902,0.100887
2025-03/04,Geopolitics,577,902,0.639690
2025-03/04,Knowledge/Facts,175,902,0.194013
2025-03/04,Indigenous Life,53,902,0.058758
2025-03/04,Climate Change,6,902,0.006652
2025-05/06,Nature/Tourism,150,638,0.235110
2025-05/06,Geopolitics,182,638,0.285266
2025-05/06,Knowledge/Facts,231,638,0.362069
2025-05/06,Indigenous Life,62,638,0.097179
2025-05/06,Climate Change,13,638,0.020376
2025-07/08,Nature/Tourism,221,597,0.370184
2025-07/08,Geopolitics,118,597,0.197655
2025-07/08,Knowledge/Facts,173,597,0.289782
2025-07/08,Indigenous Life,66,597,0.110553
2025-07/08,Climate Change,19,597,0.031826
2025-09/10,Nature/Tourism,171,523,0.326960
2025-09/10,Geopolitics,92,523,0.175908
2025-09/10,Knowledge/Facts,178,523,0.340344
2025-09/10,Indigenous Life,73,523,0.139579
2025-09/10,Climate Change,9,523,0.017208
