"model","outcome","term","estimate","std_error","t_value","p_value","ci_low","ci_high"
"views_frame_only","log_views","(Intercept)",5.83511990180705,0.0206711733029954,282.282955895953,0,5.79460440213318,5.87563540148093
"views_frame_only","log_views","is_geopolitical",0.90906298679352,0.0386845655649136,23.4993717395661,7.65285008298988e-121,0.833241238286289,0.98488473530075
"views_subscriber_control","log_views","(Intercept)",2.76762856666679,0.0271014973136013,102.120873051461,0,2.71450963193213,2.82074750140145
"views_subscriber_control","log_views","is_geopolitical",-0.0259108138784182,0.0300640238158473,-0.861854488844577,0.388775587169742,-0.0848363005574789,0.0330146728006424
"views_subscriber_control","log_views","log_subscribers",0.498292759125716,0.00359361598020425,138.660547445972,0,0.491249271804515,0.505336246446916
"comments_frame_only","log_comments","(Intercept)",0.930438054808136,0.0131474187749944,70.7696370467616,0,0.904669114009147,0.956206995607125
"comments_frame_only","log_comments","is_geopolitical",0.864241225034903,0.0246044177635987,35.1254491505795,4.41468871371833e-264,0.816016566218249,0.912465883851556
"comments_subscriber_control","log_comments","(Intercept)",-0.988826293603666,0.0174428549836385,-56.6894751192503,0,-1.0230142893716,-0.954638297835735
"comments_subscriber_control","log_comments","is_geopolitical",0.279247923905763,0.0193495732570207,14.4317355321747,4.97857683644159e-47,0.241322760322003,0.317173087489524
"comments_subscriber_control","log_comments","log_subscribers",0.311771223835586,0.00231289517639051,134.796953626811,0,0.307237949289861,0.316304498381311
"likes_frame_only","log_likes","(Intercept)",2.48940209972641,0.0174004042625761,143.065762275448,0,2.45529730737177,2.52350689208106
"likes_frame_only","log_likes","is_geopolitical",0.744959348842446,0.0324569822050417,22.9522062197985,2.26374562888628e-115,0.681343663720564,0.808575033964327
"likes_subscriber_control","log_likes","(Intercept)",-0.0802712314560267,0.0221409407740032,-3.62546615680744,0.00028902095989155,-0.123667475373073,-0.0368749875389803
"likes_subscriber_control","log_likes","is_geopolitical",-0.0608993424980432,0.0246804250846641,-2.46751594792768,0.0136121510653944,-0.109272975663985,-0.0125257093321015
"likes_subscriber_control","log_likes","log_subscribers",0.417411024867168,0.00292531709606449,142.689155110304,0,0.411677403358882,0.423144646375455
