date,frame,count,total_videos_in_date,prevalence
2024-02-01,Geopolitics & strategic competition,62,230,0.269565
2024-02-01,"Society, culture & everyday life",18,230,0.078261
2024-02-01,"Knowledge, facts & educational content",20,230,0.086957
2024-02-01,Climate change & environmental risk,11,230,0.047826
2024-03-01,"Entertainment, memes & low-context content",76,210,0.361905
2024-03-01,"Nature, landscape & tourism",38,210,0.180952
2024-03-01,Geopolitics & strategic competition,55,210,0.261905
2024-03-01,"Society, culture & everyday life",18,210,0.085714
2024-03-01,"Knowledge, facts & educational content",16,210,0.076190
2024-03-01,Climate change & environmental risk,7,210,0.033333
2024-04-01,"Entertainment, memes & low-context content",71,240,0.295833
2024-04-01,"Nature, landscape & tourism",46,240,0.191667
2024-04-01,Geopolitics & strategic competition,81,240,0.337500
2024-04-01,"Society, culture & everyday life",18,240,0.075000
2024-04-01,"Knowledge, facts & educational content",12,240,0.050000
2024-04-01,Climate change & environmental risk,12,240,0.050000
2024-05-01,"Entertainment, memes & low-context content",92,267,0.344569
2024-05-01,"Nature, landscape & tourism",59,267,0.220974
2024-05-01,Geopolitics & strategic competition,75,267,0.280899
2024-05-01,"Society, culture & everyday life",18,267,0.067416
2024-05-01,"Knowledge, facts & educational content",20,267,0.074906
2024-05-01,Climate change & environmental risk,3,267,0.011236
2024-06-01,"Entertainment, memes & low-context content",77,238,0.323529
2024-06-01,"Nature, landscape & tourism",64,238,0.268908
2024-06-01,Geopolitics & strategic competition,46,238,0.193277
2024-06-01,"Society, culture & everyday life",20,238,0.084034
2024-06-01,"Knowledge, facts & educational content",21,238,0.088235
2024-06-01,Climate change & environmental risk,10,238,0.042017
2024-07-01,"Entertainment, memes & low-context content",86,250,0.344000
2024-07-01,"Nature, landscape & tourism",64,250,0.256000
2024-07-01,Geopolitics & strategic competition,50,250,0.200000
2024-07-01,"Society, culture & everyday life",15,250,0.060000
2024-07-01,"Knowledge, facts & educational content",26,250,0.104000
2024-07-01,Climate change & environmental risk,9,250,0.036000
2024-08-01,"Entertainment, memes & low-context content",107,289,0.370242
2024-08-01,"Nature, landscape & tourism",70,289,0.242215
2024-08-01,Geopolitics & strategic competition,59,289,0.204152
2024-08-01,"Society, culture & everyday life",19,289,0.065744
2024-08-01,"Knowledge, facts & educational content",23,289,0.079585
2024-08-01,Climate change & environmental risk,11,289,0.038062
2024-09-01,"Entertainment, memes & low-context content",96,298,0.322148
2024-09-01,"Nature, landscape & tourism",65,298,0.218121
2024-09-01,Geopolitics & strategic competition,61,298,0.204698
2024-09-01,"Society, culture & everyday life",43,298,0.144295
2024-09-01,"Knowledge, facts & educational content",23,298,0.077181
2024-09-01,Climate change & environmental risk,10,298,0.033557
2024-10-01,"Entertainment, memes & low-context content",95,285,0.333333
2024-10-01,"Nature, landscape & tourism",74,285,0.259649
2024-10-01,Geopolitics & strategic competition,53,285,0.185965
2024-10-01,"Society, culture & everyday life",29,285,0.101754
2024-10-01,"Knowledge, facts & educational content",24,285,0.084211
2024-10-01,Climate change & environmental risk,10,285,0.035088
2024-11-01,"Entertainment, memes & low-context content",70,242,0.289256
2024-11-01,"Nature, landscape & tourism",72,242,0.297521
2024-11-01,Geopolitics & strategic competition,43,242,0.177686
2024-11-01,"Society, culture & everyday life",22,242,0.090909
2024-11-01,"Knowledge, facts & educational content",25,242,0.103306
2024-11-01,Climate change & environmental risk,10,242,0.041322
2024-12-01,"Entertainment, memes & low-context content",60,273,0.219780
2024-12-01,"Nature, landscape & tourism",51,273,0.186813
2024-12-01,Geopolitics & strategic competition,63,273,0.230769
2024-12-01,"Society, culture & everyday life",40,273,0.146520
2024-12-01,"Knowledge, facts & educational content",43,273,0.157509
2024-12-01,Climate change & environmental risk,16,273,0.058608
2025-01-01,"Entertainment, memes & low-context content",89,422,0.210900
2025-01-01,"Nature, landscape & tourism",39,422,0.092417
2025-01-01,Geopolitics & strategic competition,88,422,0.208531
2025-01-01,"Society, culture & everyday life",75,422,0.177725
2025-01-01,"Knowledge, facts & educational content",58,422,0.137441
2025-01-01,Climate change & environmental risk,73,422,0.172986
2025-02-01,"Entertainment, memes & low-context content",52,244,0.213115
2025-02-01,"Nature, landscape & tourism",36,244,0.147541
2025-02-01,Geopolitics & strategic competition,65,244,0.266393
2025-02-01,"Society, culture & everyday life",39,244,0.159836
